locus_tag	ftype	length_bp	gene	EC_number	COG	product
IIFJEAJK_00001	CDS	912		1.1.1.81	COG0111	Hydroxypyruvate reductase
IIFJEAJK_00002	CDS	1278	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
IIFJEAJK_00003	CDS	918	gltR_1		COG0583	HTH-type transcriptional regulator GltR
IIFJEAJK_00004	CDS	819		4.2.1.-	COG4336	Putative hydro-lyase
IIFJEAJK_00005	CDS	1248				hypothetical protein
IIFJEAJK_00006	CDS	261				hypothetical protein
IIFJEAJK_00007	CDS	879	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
IIFJEAJK_00008	CDS	978				hypothetical protein
IIFJEAJK_00009	CDS	732	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IIFJEAJK_00010	CDS	705	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
IIFJEAJK_00011	CDS	291				hypothetical protein
IIFJEAJK_00012	CDS	657	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
IIFJEAJK_00013	CDS	1008	ltnD	1.1.1.411	COG2084	L-threonate dehydrogenase
IIFJEAJK_00014	CDS	783	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
IIFJEAJK_00015	CDS	1290	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
IIFJEAJK_00016	CDS	1692				hypothetical protein
IIFJEAJK_00017	CDS	3180	cusA_1		COG3696	Cation efflux system protein CusA
IIFJEAJK_00018	CDS	1203	mdtA_1			Multidrug resistance protein MdtA
IIFJEAJK_00019	CDS	1512				hypothetical protein
IIFJEAJK_00020	CDS	1134		1.13.12.-	COG2070	Putative monooxygenase
IIFJEAJK_00021	CDS	879	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
IIFJEAJK_00022	CDS	276				hypothetical protein
IIFJEAJK_00023	CDS	615				hypothetical protein
IIFJEAJK_00024	CDS	1275	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
IIFJEAJK_00025	CDS	378				hypothetical protein
IIFJEAJK_00026	CDS	783	idnO_1	1.1.1.69		5-keto-D-gluconate 5-reductase
IIFJEAJK_00027	CDS	792	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
IIFJEAJK_00028	CDS	984				hypothetical protein
IIFJEAJK_00029	CDS	372				hypothetical protein
IIFJEAJK_00030	CDS	780	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
IIFJEAJK_00031	CDS	1275	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
