locus_tag	ftype	length_bp	gene	EC_number	COG	product
EGAJGLNG_00001	CDS	912		1.1.1.81	COG0111	Hydroxypyruvate reductase
EGAJGLNG_00002	CDS	1278	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
EGAJGLNG_00003	CDS	918	gltR_1		COG0583	HTH-type transcriptional regulator GltR
EGAJGLNG_00004	CDS	819		4.2.1.-	COG4336	Putative hydro-lyase
EGAJGLNG_00005	CDS	1248				hypothetical protein
EGAJGLNG_00006	CDS	261				hypothetical protein
EGAJGLNG_00007	CDS	879	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EGAJGLNG_00008	CDS	978				hypothetical protein
EGAJGLNG_00009	CDS	732	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EGAJGLNG_00010	CDS	705	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EGAJGLNG_00011	CDS	291				hypothetical protein
EGAJGLNG_00012	CDS	657	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
EGAJGLNG_00013	CDS	1008	ltnD	1.1.1.411	COG2084	L-threonate dehydrogenase
EGAJGLNG_00014	CDS	783	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
EGAJGLNG_00015	CDS	1290	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
EGAJGLNG_00016	CDS	1692				hypothetical protein
EGAJGLNG_00017	CDS	3180	cusA_1		COG3696	Cation efflux system protein CusA
EGAJGLNG_00018	CDS	1203	mdtA_1			Multidrug resistance protein MdtA
EGAJGLNG_00019	CDS	1512				hypothetical protein
EGAJGLNG_00020	CDS	1134		1.13.12.-	COG2070	Putative monooxygenase
EGAJGLNG_00021	CDS	879	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
EGAJGLNG_00022	CDS	276				hypothetical protein
EGAJGLNG_00023	CDS	615				hypothetical protein
EGAJGLNG_00024	CDS	1275	acrC_1	1.3.1.95		Acryloyl-CoA reductase (NADH)
EGAJGLNG_00025	CDS	378				hypothetical protein
EGAJGLNG_00026	CDS	783	idnO_1	1.1.1.69		5-keto-D-gluconate 5-reductase
EGAJGLNG_00027	CDS	792	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
EGAJGLNG_00028	CDS	984				hypothetical protein
EGAJGLNG_00029	CDS	372				hypothetical protein
EGAJGLNG_00030	CDS	780	dpgD_1	4.2.1.17		Enoyl-CoA-hydratase
EGAJGLNG_00031	CDS	1275	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
EGAJGLNG_00032	CDS	480				hypothetical protein
EGAJGLNG_00033	CDS	1113				hypothetical protein
EGAJGLNG_00034	CDS	1674		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
EGAJGLNG_00035	CDS	876	fadH_1	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
EGAJGLNG_00036	CDS	813	caiD_1	4.2.1.149		Carnitinyl-CoA dehydratase
EGAJGLNG_00037	CDS	1545		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
EGAJGLNG_00038	CDS	966				IS481 family transposase ISNe2
EGAJGLNG_00039	CDS	2823	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
EGAJGLNG_00040	CDS	1113				hypothetical protein
EGAJGLNG_00041	CDS	915		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
EGAJGLNG_00042	CDS	1140				hypothetical protein
EGAJGLNG_00043	CDS	414				hypothetical protein
EGAJGLNG_00044	CDS	1251				hypothetical protein
EGAJGLNG_00045	CDS	924	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EGAJGLNG_00046	CDS	921				hypothetical protein
EGAJGLNG_00047	CDS	729	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EGAJGLNG_00048	CDS	720	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EGAJGLNG_00049	CDS	1350	cnbH_1	3.5.99.5		2-amino-5-chloromuconic acid deaminase
EGAJGLNG_00050	CDS	687				hypothetical protein
EGAJGLNG_00051	CDS	744				hypothetical protein
